date	6M+ Barrels	1M to 6M Barrels	500,001 to 1M Barrels	100,000 to 500,000 Barrels	60,001 to 100,000 Barrels	30,001 to 60,000 Barrels	15,001 to 30,000 Barrels	7,501 to 15,000 Barrels	1,001 to 7,500 Barrels	1 to 1,000 Barrels
2007	167562085.4	13003841.85	6641984.43	4972430.67	1513844.02	1441864.66	538169.53	452233.35	819158.91	355171.47
2008	121637275.3	60822125.25	4881373.45	7064945.49	1587136.1	1162296.26	895640.53	422694.05	851718.37	381660.76
2009	171232881.6	9970404.28	4831385.68	5422155.72	1501976.56	1412244.73	895133.22	442753.54	859934.81	400401.17
2010	160771860.7	15450769.1	7138171.64	6123725.23	1226091.75	1544051.1	911065.75	560159.34	1059505.16	426003.38
2011	138963353.8	31228139.35	8448633.99	7926808.21	1157839.9	1754234.55	893273.36	662095.46	1254333.75	458109.83
2012	157780750.2	18599330.06	4654830.64	7810357.34	1468172.46	2179429.59	913884.27	821100.64	1402600.67	516746.49
2013	153023498.6	18215658.71	4797758.09	7637584.41	1824548.27	2271814.7	1087970.73	842820.06	1693579.73	602141.42
2014	138677888.1	31207231.6	3836841.48	9093514.82	1548669.55	2639561.55	1310960.09	1042199.42	1959533.5	698737.88
2015	136122437.4	28936995.81	5050717.11	10645528.1	1887855.83	2453623.13	1509411.47	1427754.07	2242859.09	835835.99
2016	131659359.2	31452029.38	4293996.9	10469048.22	3052311.48	2329947.35	1577515.39	1550640.42	2461722.99	993337.92
2017	135615117.5	22156697.28	6253029.02	8792844.25	3175932.85	2230144.53	2062332.14	1565335.71	2656419.36	1073977.86
2018	131336734	23487380.31	5859956.25	8777286.22	3120044.87	2170405.47	2124238.48	1618340.38	3058297.95	1238268.9