year	1M+ Barrels	100,001 to 1M Barrels	30,001 to 100,000 Barrels	1 to 30,000 Barrels
2008	0.010486327	0.028576888	-0.069789124	0.178765882
2009	-0.006884352	-0.141698673	0.059935619	0.018226586
2010	-0.027486566	0.293396725	-0.049439773	0.137983124
2011	-0.03422453	0.234773755	0.051236202	0.105210279
2012	0.036362494	-0.238787702	0.25257857	0.118280863
2013	-0.029146846	-0.002394306	0.123029024	0.156575773
2014	-0.00790729	0.03980701	0.022426755	0.185713175
2015	-0.028405587	0.213906628	0.036590116	0.200427733
2016	-0.01180208	-0.059453715	0.239729336	0.094310047
2017	-0.032735751	0.019157846	0.004425382	0.117700568
2018	-0.018683315	-0.027158995	-0.021388344	0.092562465